ServiceID,VendorID,ServiceDate,MealType,PricePerPlate,PlatesBilledByVendor,ActualBadgesSwiped
SVC001,V003,2025-04-01,Breakfast,80,120,115
SVC002,V003,2025-04-01,Lunch,150,200,195
SVC003,V003,2025-04-01,Snacks,50,180,180
SVC004,V003,2025-04-02,Breakfast,80,125,118
SVC005,V003,2025-04-02,Lunch,150,205,190
SVC006,V004,2025-04-01,Breakfast,90,95,92
SVC007,V004,2025-04-01,Lunch,180,160,155
SVC008,V004,2025-04-01,Dinner,200,50,48
SVC009,V004,2025-04-02,Breakfast,90,98,98
SVC010,V004,2025-04-02,Lunch,180,165,160
SVC011,V003,2025-04-03,Breakfast,80,130,129
SVC012,V003,2025-04-03,Lunch,150,210,200
SVC013,V004,2025-04-03,Breakfast,90,100,96
SVC014,V004,2025-04-03,Lunch,180,170,165
SVC015,V004,2025-04-03,Dinner,200,55,52
